sabal	ˈsaː.bɐl
tapyas	t̪ɐpˈjas
sasag	ˈsaː.sɐɡ̚
alipin ng baraha	ʔɐˌliː.pɪn̪ n̪ɐm bɐˈɾaː.hɐ
buriko	bʊˈɾiː.xo
tuwabak	ˈt̪waː.bɐk̚
malimit	mɐˈliː.mɪt̪̚
mamser	ˈmam.sɛɾ
kuwarentenas	kwɐ.ɾɛn̪ˈt̪ɛː.n̪ɐs
aktitud	ʔɐk.t̪ɪˈt̪ʊd̪̚
kabuoan	kɐ.bʊ.ʔoˈʔan̪
alas-singko	ʔɐˌlas‿ˈsiŋ.ko
kambas	ˈkam.bɐs
aplike	ʔɐpˈliː.xɛ
malapot	mɐˈlaː.pot̪̚
tiyesa	ˈt͡ʃɛː.sɐ
sagutan	ˌsaːˈɣuː.t̪ɐn̪
buhay-pag-ibig	ˌbuː.haɪ̯ pɐɡˈʔiː.bɪɡ̚
haso	hɐˈsoʔ
singkal	sɪŋˈkal
kabaliwan	kɐ.bɐ.lɪˈwan̪
jologs	ˈd͡ʒoː.loɡs
malaking bagay	mɐ.lɐˌxɪm ˈbaː.ɣaɪ̯
mantilya	mɐn̪ˈt̪il.jɐ
kulatahin	kʊ.lɐˈt̪aː.hɪn̪
api-api	ˌʔaː.pɪ ˈʔaː.pɪ
eskwelahan	ʔɛsˌkwɛː.lɐˈhan̪
talibong	t̪ɐ.lɪˈboŋ
maluto	mɐ.lʊˈt̪oʔ
balasik	bɐˈlaː.sɪk̚
maso	ˈmaː.so
matalbog	mɐ.t̪ɐlˈboɡ̚
tutol	ˈt̪uː.t̪ol
lampin	lɐmˈpɪn̪
garupa	ɡɐˈɾuː.pɐ
analitika	ʔɐ.n̪ɐˌliː.t̪ɪˈxa
disiseis	d̪ɪ.sɪ.sɛˈʔɪs
masalimuot	mɐ.sɐ.lɪ.mʊˈʔot̪̚
karoling	ˌkaː.ɾoˈlɪŋ
siyasik	ˈsjaː.sɪk̚
duke	ˈd̪uː.xɛ
amuleto	ʔɐ.mʊˈlɛː.t̪o
mamuti	mɐ.mʊˈt̪ɪʔ
nagkakabit	n̪ɐɡˌkaː.xɐˈbɪt̪̚
mag-iiras	ˌmaɡ.ʔɪ.ʔɪˈɾas
lupit	lʊˈpɪt̪̚
bunrok	bʊn̪ˈɾok̚
pungko	pʊŋˈkoʔ
tigbuhol	t̪ɪɡ.bʊˈhol
kabutihang-loob	kɐ.bʊˌt̪iː.hɐn̪ loˈʔob̚
pebripugo	ˌpɛː.bɾɪˈpuː.ɣo
madami	mɐˈd̪aː.mɪ
propanidad	pɾo.pɐ.n̪ɪˈd̪ad̪̚
sumigwa	sʊ.mɪɡˈwa
magkasiya	mɐɡˈkaː.ʃɐ
dinggin	d̪ɪŋˈɡɪn̪
salawa	sɐ.lɐˈwa
baga	ˈbaː.ɣɐʔ
dekorasyon	d̪ɛ.xo.ɾɐˈʃon̪
liwat	ˈliː.wɐt̪̚
sawsaw-suka	saʊ̯ˌsaʊ̯ ˈsuː.xɐʔ
gambol	ɡɐmˈbol
tawid	t̪ɐˈwɪd̪̚
apirmatiba	ʔɐ.pɪɾ.mɐˈt̪iː.bɐ
bakbakan	bɐkˈbaː.xɐn̪
ilawan	ʔɪ.lɐˈwan̪
hirandula	hɪˌɾan̪.d̪ʊˈla
agresor	ʔɐ.ɡɾɛˈsoɾ
pananatilihin	pɐˌn̪aː.n̪ɐ.t̪ɪˈliː.hɪn̪
almondigas	ʔɐl.mon̪.d̪ɪˈɣas
mamuhay	mɐˈmuː.haɪ̯
anodinya	ʔɐ.n̪oˈd̪iː.ɲɐ
atsuwete	ʔɐˈt͡ʃwɛː.t̪ɛ
batuta	bɐˈt̪uː.t̪ɐʔ
pagtalunan	pɐɡ.t̪ɐˈluː.n̪ɐn̪
basketbol	ˌbas.kɛt̪ˈbol
malayang taludturan	mɐˌlaː.jɐn̪ t̪ɐ.lʊd̪ˈt̪uː.ɾɐn̪
balaklaot	ˌbaː.lɐkˈlaː.ʔot̪̚
lulog	ˈluː.loɡ̚
pinipig	pɪˈn̪iː.pɪɡ̚
kalupaan	kɐ.lʊ.pɐˈʔan̪
limi-limitahan	lɪˌmiː.lɪ.mɪ.t̪ɐˈhan̪
lumot	ˈluː.mot̪̚
balansa	bɐˈlan̪.sɐ
balaw	bɐˈlaʊ̯
mapanganurin	mɐ.pɐ.ŋɐˈn̪uː.ɾɪn̪
persiyana	pɛɾˈʃaː.n̪ɐ
plantsa	ˈplan̪.t͡ʃɐ
nginag	ˈŋiː.n̪ɐɡ̚
barek	ˈbaː.ɾɛk̚
depensa	d̪ɛˈpɛn̪.sɐ
matang-agila	mɐˌt̪aŋ ˌʔaː.ɣɪˈla
agunyas	ʔɐ.ɣʊnˈɲas
sitsaron	sɪt.t͡ʃɐˈɾon̪
novalenyo	n̪o.vɐˈlɛː.ɲo
agrikultural	ʔɐ.ɡɾɪ.xʊl.t̪ʊˈɾal
oblo	ˈʔob.lo
salamuha	sɐ.lɐˈmuː.hɐʔ
aldea	ʔɐlˈd̪ɛː.jɐ
bigay-kaya	bɪˌɣaɪ̯ ˈkaː.jɐ
saribuhay	sɐ.ɾɪˈbuː.haɪ̯
kasambahay	kɐ.sɐm.bɐˈhaɪ̯
tumbaga	t̪ʊmˈbaː.ɣɐ
bangkiwi	bɐŋ.kɪˈwɪʔ
lakwatsera	lɐk.wɐtˈt͡ʃɛː.ɾɐ
engkuwentro	ʔɛŋˈkwɛn̪.t̪ɾo
isipin	ʔɪ.sɪˈpɪn̪
sapin-sapin	sɐˌpɪn̪ sɐˈpɪn̪
inmoralidad	ʔɪn̪.mo.ɾɐ.lɪˈd̪ad̪̚
inugsukatan	ʔɪ.n̪ʊɡ.sʊ.xɐˈt̪an̪
masasal	mɐ.sɐˈsal
glosari	ˌɡloː.sɐˈɾɪ
pinulot sa kangkungan	pɪˌn̪uː.lot̪ sɐ xɐŋˈkuː.ŋɐn̪
kimika	ˌkiː.mɪˈxa
binubuweltahan	bɪ.n̪ʊˌbwɛl.t̪ɐˈhan̪
pamilyar	pɐ.mɪlˈjaɾ
bentrilokwista	bɛn̪.t̪ɾɪ.lokˈwis.t̪ɐ
asumpsiyon	ʔɐ.sʊmpˈʃon̪
watusi	ˌwaːˈt̪uː.sɪ
orasyon	ʔo.ɾɐˈʃon̪
sira ang bait	sɪˌɾaʔ ʔɐm bɐˈʔɪt̪̚
esensiya	ʔɛˈsɛn̪.ʃɐ
syensya	ˈʃɛn̪.ʃɐ
gugol	ˈɡuː.ɣol
hirap	ˈhiː.ɾɐp̚
daspanin	ˌd̪as.pɐˈn̪ɪn̪
iskawt	ʔɪsˈkaʊ̯t̪
direktor	d̪ɪ.ɾɛkˈt̪oɾ
kagila-gilalas	kɐ.ɣɪˌla ɣɪ.lɐˈlas
tago	ˈt̪aː.ɣoʔ
ketungan	kɛˈt̪uː.ŋɐn̪
lupakaya	lʊ.pɐˈxaː.jɐ
siyudad	ʃʊˈd̪ad̪̚
tinamaan	t̪ɪ.n̪ɐˈmaː.ʔɐn̪
pagbabalik-tanaw	pɐɡ.bɐ.bɐˌlɪk t̪ɐˈn̪aʊ̯
abeto	ʔɐˈbɛː.t̪o
adisisyete	ʔɐ.d̪ɪ.sɪˈʃɛː.t̪ɛ
busan	ˈbuː.sɐn̪
siyamnaraan	ˌʃam.n̪ɐ.ɾɐˈʔan̪
salungguhitan	sɐ.lʊŋ.ɡʊˈhiː.t̪ɐn̪
undras	ʔʊn̪ˈd̪ɾas
kibit	kɪˈbɪt̪̚
ribyuhin	ɾɪb.jʊˈhɪn̪
habitsuwelas	hɐ.bɪˈt͡ʃwɛː.lɐs
hiso	ˈhiː.soʔ
yupi	jʊˈpɪʔ
antihelmintik	ʔɐn̪.t̪ɪ.hɛlˈmin̪.t̪ɪk̚
merkado	mɛɾˈkaː.d̪o
mangimayiw	mɐ.ŋɪˈmaː.jɪʊ̯
kodeyna	koˈd̪eɪ̯.n̪ɐ
hanimun	ˌhaː.n̪ɪˈmʊn̪
magkuwento	mɐɡˈkwɛn̪.t̪o
sipay	sɪˈpaɪ̯
kalsetin	kɐl.sɛˈt̪ɪn̪
aglahi	ʔɐɡˈlaː.hɪʔ
diwa	ˈd̪iː.wɐʔ
sinapupunan	sɪ.n̪ɐ.pʊˈpuː.n̪ɐn̪
pingki	pɪŋˈkɪʔ
detektib	d̪ɛˈt̪ɛk.t̪ɪb̚
trompeta	t̪ɾomˈpɛː.t̪ɐ
sahog	sɐˈhoɡ̚
sagip	sɐˈɣɪp̚
nagnakaw	n̪ɐɡˈn̪aː.xaʊ̯
liyangkoy	ljɐŋˈkoɪ̯
kaguruan	kɐ.ɣʊ.ɾʊˈʔan̪
lunurin	lʊˈn̪uː.ɾɪn̪
sabutan	sɐ.bʊˈt̪an̪
sodyako	sodˈd͡ʒaː.xo
tinte en pye	ˌt̪in̪.t̪ɛ ʔɛm ˈpjɛ
anyos	ˈʔaː.ɲos
pinasyalan	pɪ.n̪ɐ.ʃɐˈlan̪
malahagunot	mɐ.lɐ.hɐ.ɣʊˈn̪ot̪̚
matigtig	mɐ.t̪ɪɡˈt̪ɪɡ̚
malamya	mɐ.lɐmˈjaʔ
kandingga	kɐn̪ˈd̪iŋ.ɡɐ
maselan	mɐˈsɛː.lɐn̪
ano'ng balita	ʔɐˌn̪om bɐˈliː.t̪ɐʔ
tabing-dagat	t̪ɐˌbɪn̪ ˈd̪aː.ɣɐt̪̚
pusta	pʊsˈt̪a
malata	mɐ.lɐˈt̪aʔ
magsulat	mɐɡ.sʊˈlat̪̚
pamomolitika	pɐ.mo.moˌliː.t̪ɪˈxa
polyeto	polˈjɛː.t̪o
kilala	kɪˈlaː.lɐ
damdam	d̪ɐmˈd̪am
malinis	mɐˈliː.n̪ɪs
karning-apad	kɐɾˌn̪ɪŋ ˈʔaː.pɐd̪̚
sabayang pagbigkas	sɐˌbaː.jɐm pɐɡ.bɪɡˈkas
wiliwid	wɪˈliː.wɪd̪̚
isa	ʔɪˈsa
sulayaw	sʊˈlaː.jaʊ̯
agilenyo	ʔɐ.ɣɪˈlɛː.ɲo
donasyon	d̪o.n̪ɐˈʃon̪
tan-aw	t̪ɐn̪ˈʔaʊ̯
sugasipat	sʊˌɣaːˈsiː.pɐt̪̚
igo	ˈʔiː.ɣoʔ
panghalip panao	pɐŋ.hɐˌlɪp pɐˈn̪aː.ʔo
komersiyo	koˈmɛɾ.ʃo
binalon	bɪˈn̪aː.lon̪
disinteriya	d̪ɪ.sɪn̪.t̪ɛˈɾiː.jɐ
chane	ˈt͡ʃaː.n̪ɛʔ
mananalamangka	ˌmaː.n̪ɐ.n̪ɐ.lɐ.mɐŋˈka
minatam-is	mɪ.n̪ɐ.t̪ɐmˈʔɪs
kalasingan	kɐ.lɐ.sɪˈŋan̪
hay naku	ˌhaɪ̯ n̪ɐˈxʊ
pustahan	pʊsˈt̪aː.hɐn̪
magkatawang-tao	mɐɡ.kɐ.t̪ɐˌwan̪ ˈt̪aː.ʔo
eksplosibo	ʔɛks.ploˈsiː.bo
kulot	ˈkuː.lot̪̚
kulay-pilak	ˌkuː.laɪ̯ ˈpiː.lɐk̚
kasunduan sa kolektibong tawaran	kɐ.sʊn̪ˌd̪uː.ʔɐn̪ sɐ xo.lɛkˌt̪iː.bon̪ t̪ɐ.wɐˈɾan̪
alimpuyo	ʔɐ.lɪm.pʊˈjo
mulkaphay	mʊl.kɐpˈhaɪ̯
mapang-api	mɐ.pɐŋ.ʔɐˈpɪ
tawak	t̪ɐˈwak̚
bikat	ˈbiː.xɐt̪̚
nang-aasar	n̪ɐŋ.ʔɐ.ʔɐˈsaɾ
istante	ʔɪsˈt̪an̪.t̪ɛ
marami	mɐˈɾaː.mɪ
sabihan	sɐˈbiː.hɐn̪
pagtatae	pɐɡ.t̪ɐ.t̪ɐˈʔɛ
singko	ˈsiŋ.ko
talangguhit	t̪ɐ.lɐŋˈɡuː.hɪt̪̚
kalahati	kɐ.lɐˈhaː.t̪ɪʔ
eksistensiyalismo	ʔɛk.sɪs.t̪ɛn̪.ʃɐˈlis.mo
mamuyat	mɐˈmuː.jɐt̪̚
kagayutan	kɐ.ɣɐ.jʊˈt̪an̪
bantay-dagat	bɐn̪ˌt̪aɪ̯ ˈd̪aː.ɣɐt̪̚
apritada	ʔɐ.pɾɪˈt̪aː.d̪ɐ
buyo	ˈbuː.jo
kaisa-isa	ˌkaː.ʔɪ.sɐ.ʔɪˈsa
malukong	mɐ.lʊˈxoŋ
katuwang	kɐˈt̪waŋ
anibersaryo	ʔɐ.n̪ɪ.bɛɾˈsaɾ.jo
pakunwari	pɐ.xʊn̪.wɐˈɾɪʔ
yukulele	jʊ.xʊˈlɛː.lɛ
kulit	kʊˈlɪt̪̚
unika iha	ˌʔuː.n̪ɪˌxa ˈʔiː.hɐ
mapang-apid	mɐˌpaŋ.ʔɐˈpɪd̪̚
apinidad	ʔɐ.pɪ.n̪ɪˈd̪ad̪̚
pinapagtalunan	pɪˌn̪aː.pɐɡ.t̪ɐˈluː.n̪ɐn̪
dinsulan	d̪ɪn̪ˈsuː.lɐn̪
matisod	mɐˈt̪iː.sod̪̚
leche flan	ˌlɛː.t͡ʃɛ ˈflan̪
alahas	ʔɐˈlaː.hɐs
singkuhin	sɪŋ.kʊˈhɪn̪
daga	d̪ɐˈɣaʔ
sebra	ˈsɛb.ɾɐ
sosyal midya	ˌsoː.ʃɐl ˈmiː.d͡ʒɐ
masibol	mɐˈsiː.bol
oo	ˈʔoː.ʔo
sukot	ˈsuː.xot̪̚
limonada	lɪ.moˈn̪aː.d̪ɐ
sereso	sɛˈɾɛː.so
bulyaw	bʊlˈjaʊ̯
kompadre	komˈpad̪.ɾɛ
almundigas	ʔɐl.mʊn̪.d̪ɪˈɣas
piyador abunado	pjɐˌd̪oɾ ʔɐ.bʊˈn̪aː.d̪o
kinalabaw	kɪ.n̪ɐ.lɐˈbaʊ̯
ametralya	ʔɐ.mɛt̪.ɾɐlˈja
dormedanyo	d̪oɾ.mɛˈd̪aː.ɲo
kaswaryo	kɐsˈwaɾ.jo
arogante	ʔɐ.ɾoˈɣan̪.t̪ɛ
proseso	pɾoˈsɛː.so
aratiles	ʔɐˌɾaː.t̪ɪˈlɛs
diyabetiko	d͡ʒɐˌbɛː.t̪ɪˈxo
maoido	mɐ.ʔoˈwiː.d̪o
maparam	mɐˈpaː.ɾɐm
punong-katawan	ˌpuː.n̪oŋ kɐ.t̪ɐˈwan̪
aarawan	ˌʔaː.ʔɐˈɾaː.wɐn̪
oras-oras	ˌʔoː.ɾɐs ˈʔoː.ɾɐs
notaryo publiko	n̪oˌt̪aɾ.jo ˌpub.lɪˈxo
pulaw	pʊˈlaʊ̯
antitoksiko	ʔɐn̪.t̪ɪˌt̪ok.sɪˈxo
pundakan	pʊn̪.d̪ɐˈxan̪
lugit	ˈluː.ɣɪt̪̚
esmeralda	ʔɛs.mɛˈɾal.d̪ɐ
katsarita	kɐt.t͡ʃɐˈɾiː.t̪ɐ
baras	ˈbaː.ɾɐs
ikaw	ʔɪˈxaʊ̯
konsyensya	kon̪ˈʃɛn̪.ʃɐ
pandapati	pɐn̪.d̪ɐˈpaː.t̪ɪ
egalitaryo	ʔɛ.ɣɐ.lɪˈt̪aɾ.jo
papaw	ˈpaː.paʊ̯
raun	ˈɾaʊ̯n̪
tiangge	t͡ʃɐŋˈɡɛʔ
alebosya	ʔɐ.lɛˈboː.ʃɐ
balik-loob	bɐˌlɪk loˈʔob̚
balintawak	bɐ.lɪn̪.t̪ɐˈwak̚
gigil	ˈɡiː.ɣɪl
pulutin sa kangkungan	pʊˌluː.t̪ɪn̪ sɐ xɐŋˈkuː.ŋɐn̪
palaalamatan	pɐ.lɐ.ʔɐ.lɐˈmaː.t̪ɐn̪
bumibili	bʊˌmiː.bɪˈlɪ
sunran	sʊn̪ˈɾan̪
sangkatlo	sɐŋ.kɐt̪ˈl̪o
kilatis	kɪˈlaː.t̪ɪs
a'tin	ˈʔeɪ̯.t̪ɪn̪
hirang	ˈhiː.ɾɐŋ
buumbilang	bʊ.ʔʊmˈbiː.lɐŋ
minangon	mɪˈn̪aː.ŋon̪
sikolohia	sɪ.xo.loˈhiː.jɐ
modo mayor	ˌmoː.d̪o mɐˈjoɾ
siyanga	ʃɐˈŋaʔ
apareha	ʔɐ.pɐ.ɾɛˈha
kaswalti	ˌkas.wɐlˈt̪ɪ
estrikto	ʔɛsˈt̪ɾik.t̪o
almwasa	ʔɐlˈmwaː.sɐ
umimik	ʔʊ.mɪˈmɪk̚
pakshet	ˈpak.ʃɛt̪̚
kanlungan	kɐn̪ˈluː.ŋɐn̪
sanghod	sɐŋˈhod̪̚
mabalakid	mɐ.bɐˈlaː.xɪd̪̚
mima	ˈmiː.mɐ
sistematiko	sɪs.t̪ɛˌmaː.t̪ɪˈxo
buung-buo	bʊˌʔʊm bʊˈʔoʔ
konstituyente	kon̪s.t̪ɪ.t̪ʊˈjɛn̪.t̪ɛ
aktibo	ʔɐkˈt̪iː.bo
baklain	bɐk.lɐˈʔɪn̪
wawa	ˈwaː.wɐʔ
pagsaulan	pɐɡ.sɐ.ʔʊˈlan̪
alawans	ʔɐˈlaː.wɐn̪s
kastanet	ˌkas.t̪ɐˈn̪ɛt̪̚
nebera	n̪ɛˈbɛː.ɾɐ
mamugot	mɐˈmuː.ɣot̪̚
tuligsain	t̪ʊ.lɪɡ.sɐˈʔɪn̪
surpresa	sʊɾˈpɾɛː.sɐ
hampaslupa	hɐmˌpasˈluː.pɐʔ
ingat	ˈʔiː.ŋɐt̪̚
ahonholi	ʔɐ.hon̪.hoˈlɪ
malapad ang papel	mɐˌlaː.pɐd̪ ʔɐm pɐˈpɛl
hukom	hʊˈxom
adonis	ʔɐˈd̪oː.n̪ɪs
priyoridad	pɾjo.ɾɪˈd̪ad̪̚
najis	n̪ɐˈd͡ʒɪs
pulangitan	pʊ.lɐˈŋiː.t̪ɐn̪
magbenta ng panandaliang aliw	mɐɡˌbɛn̪.t̪ɐ n̪ɐm pɐ.n̪ɐn̪.d̪ɐˌliː.ʔɐŋ ʔɐˈlɪʊ̯
putal	pʊˈt̪al
aklimatado	ʔɐ.klɪ.mɐˈt̪aː.d̪o
probisyon	pɾo.bɪˈʃon̪
baryo	ˈbaɾ.jo
binuwo	bɪˈn̪uː.woʔ
anumalya	ʔɐ.n̪ʊ.mɐlˈja
salawsaw	sɐ.laʊ̯ˈsaʊ̯
tagtag	t̪ɐɡˈt̪aɡ̚
onga	ˈʔoː.ŋɐʔ
ambal	ˈʔam.bɐl
upang	ˈʔuː.pɐŋ
naytgaun	ˈn̪aɪ̯t̪.ɡaʊ̯n̪
hulog ng langit	ˌhuː.loɡ n̪ɐn̪ ˈlaː.ŋɪt̪̚
pipit	pɪˈpɪt̪̚
mamalagi	mɐ.mɐˈlaː.ɣɪʔ
tantsing	t̪ɐn̪ˈt͡ʃɪŋ
taning	ˈt̪aː.n̪ɪŋ
loog	ˈloː.ʔoɡ̚
retensiyon	ɾɛ.t̪ɛn̪ˈʃon̪
labatiba	lɐ.bɐˈt̪iː.bɐ
ibon	ˈʔiː.bon̪
limpi	lɪmˈpɪʔ
ergu	ˈʔɛɾ.ɡʊ
inisyatiba	ʔɪ.n̪ɪ.ʃɐˈt̪iː.bɐ
almuwasa	ʔɐlˈmwaː.sɐ
karning-tupa	kɐɾˌn̪ɪn̪ ˈt̪uː.pɐ
bibimbap	ˌbiː.bɪmˈbap̚
magmalinis	mɐɡ.mɐ.lɪˈn̪ɪs
kitir	ˈkiː.t̪ɪɾ
ineksiyon	ʔɪ.n̪ɛkˈʃon̪
magloko	mɐɡ.loˈxo
potasyo	poˈt̪aː.ʃo
linggal	lɪŋˈɡal
gisi	ˈɡiː.sɪʔ
biniyak na bunga	bɪˌɲak n̪ɐ ˈbuː.ŋɐ
pongkan	ˈpoŋ.kɐn̪
hinliliit	hɪn̪.lɪ.lɪˈʔɪt̪̚
magjakol	mɐɡ.d͡ʒɐˈxol
istambay	ʔɪsˈt̪am.baɪ̯
sadagipikang kusog	sɐˌd̪aː.ɣɪ.pɪˌxaŋ kʊˈsoɡ̚
aghamwika	ʔɐɡ.hɐmˈwiː.xɐʔ
antonomasya	ʔɐn̪.t̪o.n̪oˈmaː.ʃɐ
dahumpalay	ˌd̪aː.hʊmˈpaː.laɪ̯
liwasan	lɪˈwaː.sɐn̪
probabilidad	pɾo.bɐ.bɪ.lɪˈd̪ad̪̚
landak	lɐn̪ˈd̪ak̚
dagubdob	d̪ɐ.ɣʊbˈd̪ob̚
toto	ˈt̪oː.t̪oʔ
insula	ʔɪn̪.sʊˈla
traysyon	t̪ɾaɪ̯ˈʃon̪
bunganga	bʊˈŋaː.ŋɐʔ
absen	ˈʔab.sɛn̪
dyornalismo	ˌd͡ʒoɾ.n̪ɐˈlis.mo
tagapayo	t̪ɐ.ɣɐˈpaː.jo
tuliro	t̪ʊ.lɪˈɾo
pagpepersonipika	pɐɡ.pɛ.pɛɾ.so.n̪ɪ.pɪˈxa
hanal	hɐˈn̪al
ipuwesto	ʔɪˈpwɛs.t̪o
piluka	pɪˈluː.xɐ
bilhan	bɪlˈhan̪
libre-pensador	ˌlib.ɾɛ pɛn̪.sɐˈd̪oɾ
madagim	mɐ.d̪ɐˈɣɪm
mahiya	mɐˈhjaʔ
etimolohiya	ʔɛ.t̪ɪ.mo.loˈhiː.jɐ
tradyektori	t̪ɾɐdˌd͡ʒɛk.t̪oˈɾɪ
apuhap	ʔɐˈpuː.hɐp̚
diskuwalipikasyon	d̪ɪs.kwɐ.lɪ.pɪ.xɐˈʃon̪
sikulo	sɪˈxuː.lo
kakabili	ˌkaː.xɐ.bɪˈlɪ
trinitaryanismo	t̪ɾɪ.n̪ɪ.t̪ɐɾ.jɐˈn̪is.mo
kabuhayan	kɐ.bʊˈhaː.jɐn̪
partido	pɐɾˈt̪iː.d̪o
tiyutor	ˈt͡ʃuː.t̪oɾ
adube	ʔɐˈd̪uː.bɛ
barako	bɐˈɾaː.xo
pagyagyag	pɐɡ.jɐɡˈjaɡ̚
demokratiko	d̪ɛ.moˌkɾaː.t̪ɪˈxo
zey	zeɪ̯
punto ng pagkulo	ˌpun̪.t̪o n̪ɐm pɐɡ.kʊˈloʔ
teokrasya	t̪ɛ.joˈkɾaː.ʃɐ
boksing	ˈbok.sɪŋ
ahustador	ʔɐ.hʊs.t̪ɐˈd̪oɾ
animado	ʔɐ.n̪ɪˈmaː.d̪o
araru	ʔɐ.ɾɐˈɾʊ
anestetik	ʔɐ.n̪ɛsˈt̪ɛː.t̪ɪk̚
gaan	ɡɐˈʔan̪
payi	ˈpaː.jɪʔ
sa pangkalahatan	sɐ pɐŋ.kɐ.lɐ.hɐˈt̪an̪
kakanin	kɐ.xɐˈn̪ɪn̪
mamersonal	mɐ.mɛɾ.soˈn̪al
dulsaynas	d̪ʊlˈsaɪ̯.n̪ɐs
magtaning	mɐɡˈt̪aː.n̪ɪŋ
bilinggwal	bɪ.lɪŋˈɡwal
pinagsasamantalahan	pɪ.n̪ɐɡˌsaː.sɐ.mɐn̪.t̪ɐ.lɐˈhan̪
magparinig	mɐɡ.pɐ.ɾɪˈn̪ɪɡ̚
saksakan	sɐkˈsaː.xɐn̪
ideyolohiya	ʔɪ.d̪ɛ.jo.loˈhiː.jɐ
abereyj	ˌʔaː.bɛˈɾeɪ̯d͡ʒ
imperatibo	ʔɪm.pɛ.ɾɐˈt̪iː.bo
panhik-panaog	pɐn̪ˌhɪk pɐˈn̪aː.ʔoɡ̚
tsekwa	ˈt͡ʃɛk.wɐ
sigok	sɪˈɣok̚
mabagay	mɐˈbaː.ɣaɪ̯
warden	ˈwaɾ.d̪ɛn̪
pula	pʊˈla
raketa	ɾɐˈxɛː.t̪ɐ
panyuelo	pɐnˈɲwɛː.lo
kontrobersyal	kon̪.t̪ɾo.bɛɾˈʃal
realisasyon	ɾɛ.jɐ.lɪ.sɐˈʃon̪
desakato sa hukuman	d̪ɛ.sɐˌxaː.t̪o sɐ hʊˈxuː.mɐn̪
padulas	pɐ.d̪ʊˈlas
kwadra	ˈkwad̪.ɾɐ
paawat	pɐˈʔaː.wɐt̪̚
pamunuan	ˌpaː.mʊ.n̪ʊˈʔan̪
asignatura	ʔɐ.sɪɡ.n̪ɐˈt̪uː.ɾɐ
indibidwal	ʔɪn̪.d̪ɪ.bɪd̪ˈwal
puhuyin	pʊˈhuː.jɪn̪
imperyo	ʔɪmˈpɛɾ.jo
peryodista	pɛɾ.joˈd̪is.t̪ɐ
sinigang	sɪ.n̪ɪˈɣaŋ
panginoong maylupa	pɐ.ŋɪ.n̪oˌʔoŋ maɪ̯ˈluː.pɐʔ
sukgisan	sʊkˈɡiː.sɐn̪
ing-ing	ˈʔiŋ.ʔɪŋ
labuyo	lɐˈbuː.joʔ
kamape	kɐ.mɐˈpɛ
aplikadong agham	ʔɐ.plɪˌxaː.d̪oŋ ʔɐɡˈham
garote	ɡɐˈɾoː.t̪ɛ
abyador	ʔɐb.jɐˈd̪oɾ
grawnded	ˈɡɾaʊ̯n̪.d̪ɛd̪̚
baron	bɐˈɾon̪
mekaniko	mɛˌxaː.n̪ɪˈxo
pambura	pɐm.bʊˈɾa
may hangin sa ulo	maɪ̯ ˌhaː.ŋɪn̪ sɐ ˈʔuː.lo
magkakatay	mɐɡ.kɐ.xɐˈt̪aɪ̯
mulyas	mʊlˈjas
awdiyens	ˈʔaʊ̯.d͡ʒɛn̪s
pamimilosopo	pɐ.mɪ.mɪˌloː.soˈpo
hila	ˈhiː.lɐ
picha	ˈpiː.t͡ʃɐ
dasal	d̪ɐˈsal
kontador publikong sertipikado	kon̪.t̪ɐˌd̪oɾ ˌpub.lɪˌxon̪ sɛɾ.t̪ɪ.pɪˈxaː.d̪o
sampay-bakod	sɐmˌpaɪ̯ ˈbaː.xod̪̚
apuntador	ʔɐ.pʊn̪.t̪ɐˈd̪oɾ
imis	ˈʔiː.mɪs
idikit	ʔɪ.d̪ɪˈxɪt̪̚
tibay ng loob	ˌt̪iː.baɪ̯ n̪ɐn̪ loˈʔob̚
tyane	ˈt͡ʃaː.n̪ɛʔ
amatz	ˈʔaː.mɐt̪s
lipunan	lɪˈpuː.n̪ɐn̪
mananghalian	mɐ.n̪ɐŋ.hɐˈliː.ʔɐn̪
mamboso	mɐmˈboː.so
gumuwapo	ɡʊˈmwaː.po
alalago	ʔɐ.lɐˈlaː.ɣo
ambisyoso	ʔɐm.bɪˈʃoː.so
adilus	ʔɐ.d̪ɪˈlʊs
tulingan	t̪ʊˈliː.ŋɐn̪
ahenho	ʔɐˈhɛn̪.ho
pinya	pɪnˈɲa
samba	sɐmˈba
selda	ˈsɛl.d̪ɐ
subhetibismo	sʊb.hɛ.t̪ɪˈbis.mo
hatkeyk	ˈhat̪.keɪ̯k
botanika	boˌt̪aː.n̪ɪˈxa
kasag	kɐˈsaɡ̚
lantutay	lɐn̪ˈt̪uː.t̪aɪ̯
mag-abdika	mɐɡ.ʔɐb.d̪ɪˈxa
gilib	ɡɪˈlɪb̚
timbol	t̪ɪmˈbol
mang	ˈmaŋ
aalug-alog	ˌʔaː.ʔɐˌlʊɡ ʔɐˈloɡ̚
tiyanak	ˈt͡ʃaː.n̪ɐk̚
tingid	t̪ɪˈŋɪd̪̚
ambagal	ʔɐmˈbaː.ɣɐl
mahilig	mɐˈhiː.lɪɡ̚
ulon	ʔʊˈlon̪
namnam	n̪ɐmˈn̪am
uhay	ˈʔuː.haɪ̯
malaika	mɐˌlaː.ʔɪˈxa
kanunuan	kɐ.n̪ʊˈn̪uː.ʔɐn̪
dapulak	d̪ɐˈpuː.lɐk̚
sibog	sɪˈboɡ̚
